indicator,city,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,age1,age2,age3,age1_a,age2_a,age3_a,race1,race2,race3,race4,race1_a,race2_a,race3_a,race4_a
disability,Baltimore,,0.156,0.144,0.151,0.156,0.155,0.161,0.146,0.155,0.149,0.155,0.156,0.165,,0.176,0.171511556,0.158276446,0.176736219,0.077748295,0.185826417,0.393705401,21155,38779,33600,0.137019411,0.189526966,0.102617419,0.072145504,20125,63541,4787,1071
disability,Boston,,0.124,0.122,0.107,0.11,0.124,0.126,0.128,0.123,0.118,0.126,0.119,0.115,,0.118,0.127416069,0.131905234,0.131085594,0.065448235,0.124234717,0.369550124,23119,27841,31404,0.094529464,0.185977412,0.146245584,0.093422846,27537,25162,18713,6443
disability,Chicago,,0.112,0.103,0.1,0.111,0.111,0.109,0.109,0.103,0.101,0.105,0.105,0.113,,0.113,0.124907133,0.129991679,0.118543207,0.055729031,0.119959203,0.356461429,73120,121026,130441,0.100312601,0.184246434,0.093257708,0.082178023,86610,136784,74762,16283
disability,Cleveland,,0.198,0.208,0.185,0.188,0.186,0.2,0.202,0.207,0.205,0.196,0.208,0.192,,0.209,0.205411601,0.212765124,0.204103394,0.108289,0.239915186,0.409350843,18849,31908,21976,0.192823173,0.211513529,0.197915802,0.113489246,23192,35239,9534,1087
disability,Detroit,,0.194,0.192,0.195,0.185,0.199,0.211,0.198,0.202,0.194,0.192,0.189,0.176,,0.196,0.19354519,0.202747097,0.189895218,0.090166945,0.254647855,0.430971295,28474,56925,40688,0.189727571,0.206656703,0.132240417,0.106628242,12877,98729,7034,1184
disability,Houston,,0.097,0.094,0.096,0.097,0.105,0.098,0.096,0.09,0.095,0.094,0.092,0.1,,0.111,0.12018974,0.124211551,0.119167475,0.060808926,0.11121794,0.356552878,71940,93929,100365,0.120216021,0.162160969,0.093717482,0.085731801,64198,84517,96098,13845
disability,Philadelphia,,0.165,0.164,0.152,0.154,0.167,0.155,0.153,0.167,0.158,,0.168,0.177,,0.161,0.174487323,0.181550399,0.16797013,0.090925286,0.194975326,0.409013219,70945,109364,92610,0.153092377,0.199149739,0.195487739,0.110667504,79631,122498,47838,13915
disability,Phoenix,,0.102,0.089,0.091,0.095,0.093,0.096,0.099,0.107,0.111,0.104,0.104,0.11,,0.116,0.117005599,0.117328925,0.118335716,0.064644433,0.119446576,0.322419509,52903,73167,63900,0.140258054,0.12115464,0.096117801,0.078311378,92703,15265,65895,5285
disability,Pittsburgh,,0.148,0.146,0.124,0.151,0.134,0.135,0.141,0.134,0.137,0.148,0.134,0.149,,0.149,0.144074902,0.128736676,0.13918333,0.075154915,0.152437505,0.325652808,11898,14684,14953,0.136179898,0.179703187,0.117533432,0.038640124,25368,11903,1582,724
disability,Washington,,0.111,0.123,0.111,0.111,0.114,0.108,0.117,0.115,0.113,0.134,0.116,0.113,,0.116,0.109197566,0.116782532,0.126463375,0.061669121,0.116460373,0.320380006,20898,28876,27215,0.064276951,0.173315564,0.091086403,0.05134491,15769,48897,7332,1508
