indicator,city,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,age1,age2,age3,age1_a,age2_a,age3_a,white,black,hispanic,asian,white_a,black_a,hispanic_a,asian_a
disability,Baltimore,,0.156,0.144,0.151,0.156,0.155,0.161,0.146,0.155,0.149,0.155,,0.067403263,0.184,0.400052505,20168,41185,32001,0.119,0.175,0.142,0.1,19811,66388,4565,1646
disability,Boston,,0.124,0.122,0.107,0.11,0.124,0.126,0.128,0.123,0.118,0.126,,0.056503677,0.139,0.422196708,21014,31665,32727,0.095,0.179,0.142,0.106,28311,31264,19532,7027
disability,Chicago,,0.112,0.103,0.1,0.111,0.111,0.109,0.109,0.103,0.101,0.105,,0.036702517,0.118,0.354905589,50291,118068,114692,0.086,0.164,0.076,0.08,76258,129838,59344,14474
disability,Cleveland,,0.198,0.208,0.185,0.188,0.186,0.2,0.202,0.207,0.205,0.196,,0.092953042,0.237,0.450147203,17087,34369,22935,0.21,0.195,0.197,0.134,26098,36026,9379,1248
disability,Detroit,,0.194,0.192,0.195,0.185,0.199,0.211,0.198,0.202,0.194,0.192,,0.075907346,0.259,0.447242141,25610,61347,41102,0.183,0.203,0.114,0.038,12558,107366,5478,455
disability,Houston,,0.097,0.094,0.096,0.097,0.105,0.098,0.096,0.09,0.095,0.094,,0.035137405,0.105,0.353822668,43139,86559,85756,0.118,0.146,0.059,0.068,66456,76437,60928,10252
disability,Philadelphia,,0.165,0.164,0.152,0.154,0.167,0.155,0.153,0.167,0.158,0.157,,0.058823163,0.195,0.440811549,47166,109099,90384,0.144,0.185,0.141,0.094,78013,121423,32730,10796
disability,Phoenix,,0.102,0.089,0.091,0.095,0.093,0.096,0.099,0.107,0.111,0.104,,0.049744581,0.112,0.341679469,41678,67717,58938,0.134,0.115,0.077,0.077,90331,13424,53236,5008
disability,Pittsburgh,,0.148,0.146,0.124,0.151,0.134,0.135,0.141,0.134,0.137,0.148,,0.056395867,0.184,0.387859553,8803,17361,17354,0.133,0.231,0.109,0.045,25737,14641,997,884
disability,Washington,,0.111,0.123,0.111,0.111,0.114,0.108,0.117,0.115,0.113,0.134,,0.065589162,0.146,0.394347357,23472,35782,32133,0.08,0.193,0.098,0.069,19953,60388,7405,1963
unemployment,Baltimore,,0.065,0.102,0.112,0.106,0.102,0.097,0.086,0.075,0.066,0.063,0.057,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
unemployment,Boston,,0.053,0.075,0.075,0.065,0.06,0.061,0.052,0.044,0.035,0.034,0.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
unemployment,Chicago,,0.07,0.111,0.112,0.108,0.1,0.1,0.078,0.066,0.064,0.053,0.042,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
unemployment,Cleveland,,0.078,0.106,0.108,0.097,0.087,0.088,0.078,0.066,0.071,0.073,0.065,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
unemployment,Detroit,,0.15,0.251,0.248,0.211,0.192,0.189,0.161,0.118,0.108,0.096,0.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
unemployment,Houston,,0.046,0.073,0.08,0.076,0.064,0.059,0.048,0.043,0.05,0.049,0.042,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
unemployment,Philadelphia,,0.071,0.097,0.106,0.107,0.109,0.103,0.081,0.071,0.068,0.062,0.055,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
unemployment,Phoenix,,0.063,0.107,0.105,0.091,0.078,0.069,0.061,0.054,0.048,0.043,0.043,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
