indicator,city,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,age1,age2,age3,age1_a,age2_a,age3_a,race1,race2,race3,race4,race1_a,race2_a,race3_a,race4_a,,,,
disability,Baltimore,,0.156,0.144,0.151,0.156,0.155,0.161,0.146,0.155,0.149,0.155,0.156,0.068,0.188,0.39,19810,41285,31843,0.122,0.183,0.068,0.051,20178,67041,2228,794,,,,
disability,Boston,,0.124,0.122,0.107,0.11,0.124,0.126,0.128,0.123,0.118,0.126,0.119,0.05,0.133,0.411,19206,30075,33030,0.097,0.156,0.139,0.081,29772,26430,19265,5367,,,,
disability,Chicago,,0.112,0.103,0.1,0.111,0.111,0.109,0.109,0.103,0.101,0.105,0.105,0.04,0.114,0.334,53779,112692,113842,0.089,0.165,0.073,0.069,79057,129016,56243,12489,,,,
disability,Cleveland,,0.198,0.208,0.185,0.188,0.186,0.2,0.202,0.207,0.205,0.196,0.208,0.102,0.257,0.443,18750,36267,23599,0.214,0.207,0.202,0.146,27476,37133,9489,1675,,,,
disability,Detroit,,0.194,0.192,0.195,0.185,0.199,0.211,0.198,0.202,0.194,0.192,0.189,0.077,0.25,0.44,25665,59970,40366,0.195,0.194,0.127,0.091,13807,100723,6664,967,,,,
disability,Houston,,0.097,0.094,0.096,0.097,0.105,0.098,0.096,0.09,0.095,0.094,0.092,0.037,0.095,0.357,45847,79962,86384,0.118,0.129,0.066,0.055,64812,66258,68887,9307,,,,
disability,Philadelphia,,0.165,0.164,0.152,0.154,0.167,0.155,0.153,0.167,0.158,,0.168,0.067,0.219,0.412,53889,123317,86244,0.151,0.186,0.193,0.101,80468,121276,46120,11825,,,,
disability,Phoenix,,0.102,0.089,0.091,0.095,0.093,0.096,0.099,0.107,0.111,0.104,0.104,0.05,0.113,0.339,43176,68909,59889,0.135,0.114,0.076,0.066,94207,13779,53916,3797,,,,
disability,Pittsburgh,,0.148,0.146,0.124,0.151,0.134,0.135,0.141,0.134,0.137,0.148,0.134,0.053,0.153,0.368,8053,14875,16609,0.119,0.211,0.087,0.043,22916,14038,883,730,,,,
disability,Washington,,0.111,0.123,0.111,0.111,0.114,0.108,0.117,0.115,0.113,0.134,0.116,0.045,0.137,0.36,16370,33933,30065,0.058,0.176,0.09,0.069,14768,55187,7134,1884,,,,
unemployment,Baltimore,,0.065,0.102,0.112,0.106,0.102,0.097,0.086,0.075,0.066,0.063,0.057,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
unemployment,Boston,,0.053,0.075,0.075,0.065,0.06,0.061,0.052,0.044,0.035,0.034,0.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
unemployment,Chicago,,0.07,0.111,0.112,0.108,0.1,0.1,0.078,0.066,0.064,0.053,0.042,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
unemployment,Cleveland,,0.078,0.106,0.108,0.097,0.087,0.088,0.078,0.066,0.071,0.073,0.065,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
unemployment,Detroit,,0.15,0.251,0.248,0.211,0.192,0.189,0.161,0.118,0.108,0.096,0.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
unemployment,Houston,,0.046,0.073,0.08,0.076,0.064,0.059,0.048,0.043,0.05,0.049,0.042,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
unemployment,Philadelphia,,0.071,0.097,0.106,0.107,0.109,0.103,0.081,0.071,0.068,0.062,0.055,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
unemployment,Phoenix,,0.063,0.107,0.105,0.091,0.078,0.069,0.061,0.054,0.048,0.043,0.043,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
unemployment,Pittsburgh,,0.052,0.071,0.08,0.075,0.074,0.068,0.056,0.052,0.053,0.049,0.042,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
unemployment,Washington,,0.065,0.093,0.094,0.102,0.09,0.085,0.078,0.069,0.061,0.061,0.056,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
commute,Baltimore,0.193707986,0.19492977,0.169979602,0.1764346,0.174636675,0.192140565,0.187517167,0.185965412,0.195617501,0.172983895,0.188057497,0.162,N/A,N/A,N/A,N/A,N/A,N/A,0.078932953,0.257662029,0.190270109,0.147520473,7637,39505,2550,1297,,,,
commute,Boston,0.339537299,0.311504937,0.345270144,0.32823461,0.325677135,0.34644193,0.330344055,0.339500216,0.345145271,0.327638474,0.350134691,0.322,N/A,N/A,N/A,N/A,N/A,N/A,0.299907145,0.394271713,0.436669504,0.302600958,56522,33148,30266,8842,,,,
commute,Chicago,0.267262312,0.267225386,0.26499437,0.264523871,0.275831792,0.263094508,0.278156982,0.28231759,0.282846511,0.281656002,0.283380116,0.283,N/A,N/A,N/A,N/A,N/A,N/A,0.309044458,0.320305933,0.213508855,0.277575373,168869,96029,77543,27123,,,,
commute,Cleveland,0.136414484,0.121892276,0.1120131,0.114238968,0.107573889,0.102801667,0.10821958,0.107604117,0.107587206,0.102617883,0.085975434,0.103,N/A,N/A,N/A,N/A,N/A,N/A,0.037536991,0.14171492,0.039760069,0.113588995,2372,9447,696,545,,,,
commute,Detroit,0.084658159,0.091021679,0.07612016,0.084481409,0.097380531,0.093602014,0.080720577,0.092440549,0.067626432,0.077123555,0.067882778,0.059,N/A,N/A,N/A,N/A,N/A,N/A,0.02333129,0.080495564,0.016675632,0.018828452,647,14372,248,90,,,,
