indicator,city,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,age1,age2,age3,age1_a,age2_a,age3_a,race1,race2,race3,race4,race1_a,race2_a,race3_a,race4_a
disability,Baltimore,0.144,0.151,0.156,0.155,0.161,0.146,0.155,0.149,0.155,0.156,0.165,,0.176,0.085176,0.20201,0.40419,23204,42746,33690,0.133,0.206,0.096,0.063,20786,69933,3290,898
disability,Boston,0.122,0.107,0.11,0.124,0.126,0.128,0.123,0.118,0.126,0.119,0.115,,0.118,0.061763,0.11695,0.36242,21590,25624,29386,0.095,0.178,0.13,0.077,28106,22986,17378,4835
disability,Chicago,0.103,0.1,0.111,0.111,0.109,0.109,0.103,0.101,0.105,0.105,0.113,,0.113,0.048792,0.11268,0.33943,63429,113416,123786,0.093,0.173,0.082,0.086,89731,131157,63296,16048
disability,Cleveland,0.208,0.185,0.188,0.186,0.2,0.202,0.207,0.205,0.196,0.208,0.192,,0.209,0.122386,0.24189,0.40624,21325,32570,21660,0.207,0.224,0.178,0.131,25668,38954,7950,1222
disability,Detroit,0.192,0.195,0.185,0.199,0.211,0.198,0.202,0.194,0.192,0.189,0.176,,0.196,0.09234,0.24746,0.42412,28789,55331,39025,0.189,0.201,0.146,0.085,13085,96890,7055,752
disability,Houston,0.094,0.096,0.097,0.105,0.098,0.096,0.09,0.095,0.094,0.092,0.1,,0.111,0.055884,0.11039,0.34097,63951,93297,93711,0.116,0.169,0.084,0.067,78034,84349,84453,10854
disability,Philadelphia,0.164,0.152,0.154,0.167,0.155,0.153,0.167,0.158,,0.168,0.177,,0.161,0.07563,0.19519,0.37709,58757,110054,83424,0.143,0.186,0.176,0.114,77898,113557,43765,13442
disability,Phoenix,0.089,0.091,0.095,0.093,0.096,0.099,0.107,0.111,0.104,0.104,0.11,,0.116,0.063384,0.12339,0.32477,819429,604953,188114,0.131,0.125,0.107,0.061,98522,14908,73395,4083
disability,Pittsburgh,0.146,0.124,0.151,0.134,0.135,0.141,0.134,0.137,0.148,0.134,0.149,,0.149,0.087319,0.15576,0.34045,13326,15086,15633,0.13,0.23,0.089,0.073,24844,14018,911,1136
disability,Washington,0.123,0.111,0.111,0.114,0.108,0.117,0.115,0.113,0.134,0.116,0.113,,0.116,0.056491,0.12347,0.33432,18885,29872,27997,0.061,0.181,0.072,0.053,15241,51558,5477,1408
